		Corner Centrality		Pagerank versatility	
Family Name	Node Id	Value	Rank	Value	Rank
ACCIAIUOL	1	0	15	0,8638167	6
ALBIZZI	2	0	12	0,8389033	13
BARBADORI	3	0,87675385	2	0,8567245	8
BISCHERI	4	0,250263979	5	0,8732232	4
CASTELLAN	5	0,268755428	4	0,8557555	7
GINORI	6	0,083220632	8	0,8347692	15
GUADAGNI	7	0,223183775	6	0,8823537	3
LAMBERTES	8	0,109123972	7	0,8561786	9
MEDICI	9	1,229130987	1	1	1
PAZZI	10	0,041761825	10	0,830739	16
PERUZZI	11	0,278145671	3	0,8975903	2
PUCCI	12	0	16	0,8638167	5
RIDOLFI	13	0	13	0,8370955	14
SALVIATI	14	0,071072416	9	0,8374698	12
STROZZI	15	0	14	0,8496274	10
TORNABUON	16	0,025402425	11	0,8430032	11
